Project,Job,Step,runtime diff in job,runtime diff in step,Runtime with fix,Runtime wo fix,step-runtime w fix,step-runtime wo fix,commit sha with fix,commit sha wo fix,build log with fix,build log wo fix
soot,Build and Test with java 8,Build and test Java 8,39,29,207,236,197,226,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4500144244/jobs/7918887185,https://github.com/optimizing-ci-builds/soot/actions/runs/4500234786/jobs/7919095723
soot,Build and Test with java 9,Build and test Java 9,-7,-17,303,283,290,273,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4500144244/jobs/7918887294,https://github.com/optimizing-ci-builds/soot/actions/runs/4500234786/jobs/7919095917
soot,Build and Test with java 11,Build and test Java 11,0,-11,283,272,272,261,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4500144244/jobs/7918887429,https://github.com/optimizing-ci-builds/soot/actions/runs/4500234786/jobs/7919096054
Algorithms,build,Test,17,0,23,25,8,8,a768e44e62298d1c54ccc62c1ced22b5ccfdab85,c108e3a4b4fa2556b8c88d7ab6803084b01a4364,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4500331979/jobs/7919320981,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4500332004/jobs/7919321085
spring-petclinic-rest,build,Build with Maven,5,-10,66,53,48,38,a2c7eebcadc9282cb17c888d3aadd4a54fa54b0f,0ed40a3d66243dc578fd20711f09f0bb9491a01b,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4500494674/jobs/7919695071,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4500555025/jobs/7919946324
socket.io-client-java,verify (7),Run the Maven verify phase,10,1,153,145,135,136,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4500645554/jobs/7920046974,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4500645561/jobs/7920046976
socket.io-client-java,verify (8),Run the Maven verify phase,11,2,147,136,125,127,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4500645554/jobs/7920047156,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4500645561/jobs/7920047164
socket.io-client-java,verify (11),Run the Maven verify phase,24,-3,142,154,130,127,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4500645554/jobs/7920047313,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4500645561/jobs/7920047374
mooc-software-testing,build,Build with Maven,11,-3,31,31,20,17,f8563a9ce84ce010ad9593666ddb56d596318541,daf30179bddc1c395f135e34a3330f1a154e423b,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4500855683/jobs/7920516903,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4500830582/jobs/7920459155
mcMMO,Maven compiler,Build via Maven,-135,-149,196,40,175,26,4393cb6a8acaf4413d24edb919a2c619ccc9478d,9e0816d53916ac8baf0041fbabc8c1aa911b09cb,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4501046084/jobs/7920950966,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4503730959/jobs/7927306519
matsim-example-project,build,Run mvn verify,-34,-53,320,259,293,240,438350e75b84d89bac7f6280746d346113527310,d998237b4e3992ff999732d32479e2366ad50b2e,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4501411045/jobs/7921806817,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4501430191/jobs/7921851929
JSqlParser,Java 8 building ...,Build with Maven,15,4,108,110,95,99,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4501512476/jobs/7922048362,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4501503173/jobs/7922025137
JSqlParser,Java 11 building ...,Build with Maven,9,-6,124,123,114,108,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4501512476/jobs/7922048791,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4501503173/jobs/7922025384
junit4,Build and verify (JDK 6),Build and verify,-13,-20,101,77,90,70,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501543459/jobs/7922122236,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501548531/jobs/7922133955
junit4,Build and verify (JDK 8),Build and verify,32,23,83,105,73,96,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501543459/jobs/7922122559,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501548531/jobs/7922134275
junit4,Build and verify (JDK 11),Build and verify,10,1,99,101,91,92,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501543459/jobs/7922122756,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501548531/jobs/7922134579
junit4,Build and verify (JDK 17),Build and verify,-23,-38,117,84,107,69,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501543459/jobs/7922122966,https://github.com/optimizing-ci-builds/junit4/actions/runs/4501548531/jobs/7922134844
UniversalMediaServer,Linux 20.04,Run tests,22,-4,87,82,60,56,efbee5e05cb48d524d2882335544ab6ab2c10688,9d88e952415d87a3d979872e9f30c859f10b1a45,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4503199474/jobs/7926081088,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4503189179/jobs/7926056173
UniversalMediaServer,Linux 22.04,Run tests,35,7,120,126,91,98,efbee5e05cb48d524d2882335544ab6ab2c10688,9d88e952415d87a3d979872e9f30c859f10b1a45,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4503199474/jobs/7926080328,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4503189179/jobs/7926055965
spring-framework-petclinic,build (17),Build with Maven,21,1,43,51,30,31,5741a764ee21c9fccb631c7796c7d81b7b236a07,2119fbb4c513cc903af2c5fed5599dfa40a9cb6c,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4503497063/jobs/7926756388,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4503527546/jobs/7926830139
fabric-sdk-java,test (8),Integration tests,2,-12,997,990,988,976,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4504571715/jobs/7929215372,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4503121362/jobs/7925893199
fabric-sdk-java,test (11),Integration tests,-197,-207,1206,996,1193,986,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4504571715/jobs/7929215530,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4503121362/jobs/7925893396
fabric-sdk-java,test (17),Integration tests,108,96,1022,1122,1014,1110,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4504571715/jobs/7929215699,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4503121362/jobs/7925893652